AcresBurned,lat,long
200,41.485,-121.851
195,37.81629,-121.68113
181,41.8048,-122.5029
171,32.9421,-116.8534
170,40.400196,-120.553075
170,39.8448,-122.3638
167,33.383889,-116.868611
158,41.295667,-123.784067
158,39.2688,-121.26471
150,38.4113,-122.0789
146,40.1058823,-124.0720419
137,40.05083333,-120.7016667
135,37.072561,-119.6958
128,40.724898,-122.96174
116,41.29226,-121.172117
114,38.052,-120.5577
112,37.83618,-120.61691
110,40.3506868,-121.7786799
109,40.47512,-122.52541
108,38.04684,-120.30188
104,39.8707,-121.8938
100,34.165974,-117.243878
95,36.5696373,-121.7556029
95,35.7183,-121.0157
90,40.49865,-122.20109
86,36.49845,-118.9009
80,32.6449163,-116.9454387
77,40.856422,-121.101623
75,40.67868,-121.93244
75,40.509552,-122.199227
75,38.776,-120.404
72,26.42,-121
67,35.77937,-120.19482
60,40.875667,-121.033667
60,38.260777,-121.135426
59,40.3929,-122.40546
55,34.23,-116.883
55,33.4115972,-117.2886249
55,40.0133,-122.552
54,34.0783472,-117.0487863
52,34.9522,-120.2903
50,34.15,-118.879444
50,39.43301,-123.36316
40,40.400196,-120.553075
40,37.24523,-121.20324
40,38.1029,-122.1578
38,38.5287,-122.3415
35,40,-41.46
35,39.7806004,-123.248214
30,39.081,-121.194
30,41.12362,-121.194256
30,39.33303,-121.18735
26,38.9361,-121.1548
25,32.682547,-116.51684
25,36.8727,-121.5681
25,33.21407,-116.73472
24,41.999341,-121.891226
23,39.0263,-123.303
22,38.831478,-122.53428
21,34.4828,-119.63216
21,33.986204,-117.43942
20,41.1513,-123.8292
19,38.519132,-122.181878
18,40.5953,-122.4397
16,40.1093,-123.774
0,38.598056,-119.751944
132127,36.45994,-121.89938
48019,35.6115,-118.45628
46344,35.70595,-120.98316
36274,34.30372,-117.49342
33867,41.851,-123.118
29322,35.7506,-118.5678
12518,34.63445,-120.54421
8110,34.28771,-117.27338
7609,32.60729,-116.63028
7474,34.776,-119.643
7050,36.09974,-120.51057
5731,38.52513,-122.06788
5646,38.96741,-120.9375
5646,38.96741,-120.9375
5443,37.75985,-118.95309
4824,34.31,-118.335
4474,37.10632,-121.85318
4347,35.984,-118.551
3929,38.89741,-122.60664
3876,36.38123,-121.20059
2944,36.0749,-120.452041
2860,41.623,-123.557
2652,41.2649,-120.3178
2575,40.3915,-120.7845
2520,36.01542,-121.25029
2304,34.701,-119.144
2241,37.01591,-119.50507
2100,36.94536,-119.25959
1785,35.20993,-118.72272
1547,38.80017,-122.82895
1246,37.07147,-121.20155
1245,33.393,-117.35093
1109,34.36763,-118.57245
1080,37.79635,-120.32484
850,39.6871,-121.571
710,41.7813,-122.611
650,37.97,-119.14
599,41.28486,-123.82268
554,34.913,-118.9082
550,39.6708,-121.7192
518,35.2013,-118.7212
464,40.0353,-122.56939
450,38.1874,-120.6381
441,40.36873,-122.72913
400,36.16965,-121.38775
395,36.1648,-118.73906
380,41.4657,-120.9066
372,38.385,-121.003611
360,40.30594,-122.1295
341,38.08056,-120.81394
310,38.02845,-120.61153
304,35.4976,-118.5097
300,39.188321,-121.78003
278,36.88286,-119.654
277,38.69971,-122.15457
248,39.92,-121.32
221,35.68313,-118.21793
215,34.75134,-120.55297
215,39.12366,-122.50373
211,37.74369,-121.58677
210,38.26874,-120.90265
188,36.92244,-119.39619
176,38.93449,-120.10744
169,38.8390117,-121.3090268
158,36.84479,-119.34487
156,34.276,-118.354
150,37.75972,-120.029626
150,33.6542,-117.5221
150,35.61961,-120.39993
147,37.62215,-121.36665
145,36.14161,-120.62048
139,33.476894,-117.140883
138,35.60748,-118.94811
132,36.78769,-119.38248
130,39.4403,-121.42647
123,37.0099,-119.5792
120,37.17072,-121.42238
114,37.41896,-121.79669
112,39.595,-121.6008
103,37.25601,-119.65776
100,40,-121.93923
100,35.24504,-118.60344
100,35.85093,-120.81081
100,32.9612,-116.7945
91,39.33035,-121.78973
88,39.79547,-121.71662
88,40.07846,-122.2071
88,38.86804,-121.37704
87,38.517772,-121.103642
86,35.70821,-120.82266
85,37.3228,-119.7738
85,37.927613,-120.528836
84,38.8866,-122.04726
83,36.49914,-121.04993
80,40.19611,-122.26736
80,39.7947,-121.857
78,36.92244,-119.39619
75,40.68192,-122.4096
70,36.6543,-119.5327
70,36.2833,-121.3306
70,33.41639,-117.08829
69,39.0863,-122.7891
65,38.40958,-122.43172
61,35.77135,-120.251
57,38.33475,-122.02564
57,37.98171,-120.64241
52,36.1934,-120.9293
50,39.7299,-123.5044
50,34.3183,-117.3189
50,38.79549,-121.00299
49,39.43351,-121.6051
47,39.20427,-121.05948
47,33.57872,-117.77395
45,38.5212,-120.8416
45,36.09974,-120.51057
45,34.27619,-118.63264
43,39.93965,-122.40142
40,38.558,-121.1309
40,38.01264,-122.1885
38,39.39051,-120.51887
38,37.24006,-119.4741
36,39.8748511,-123.4267011
36,38.68403,-122.26015
35,33.22558,-117.14547
35,40.61213,-122.47091
35,37.96311,-120.67335
33,38.22017,-120.8678
32,41.6314,-122.7933
32,37.81434,-120.69521
32,38.3131,-121.06452
30,39.8851,-121.6998
30,36.58972,-118.15589
30,36.80296,-121.40304
30,39.624017,-121.595093
30,37.2171,-121.08036
28,33.254355,-117.158475
28,33.00056,-116.9571
26,38.2581,-120.8657
26,41.96191,-122.59328
25,37.11831,-121.69784
25,37.06531,-121.68577
